the,99000000
of,99000000
to,99000000
and,49000000
a,99000000
in,99000000
is,49000000
it,11500000
you,24000000
that,7333333
he,1083333
was,4555556
for,99000000
on,49000000
are,13285714
with,24000000
as,3000000
I,19000000
his,1173913
they,1941176
be,6142857
at,10111111
one,5666667
have,9000000
this,2448276
from,13285714
or,5250000
had,612903
by,6692308
not,5250000
word,2225806
but,1439024
what,49000000
some,694915
we,1777778
can,19000000
out,6142857
other,1083333
were,1127660
all,5250000
there,2846154
when,13285714
up,6142857
use,4000000
your,9000000
how,99000000
said,250000
an,6142857
each,562500
she,754386
which,2846154
do,24000000
their,1222222
time,8090909
if,6692308
will,4555556
way,2571429
about,3545455
many,6692308
then,492537
them,587302
write,538462
would,1173913
like,3545455
so,1702703
these,369863
her,1272727
long,8090909
make,6142857
thing,562500
see,1564103
him,408451
two,1941176
has,2703704
look,1564103
more,1631579
day,6692308
could,449275
go,4555556
come,1777778
did,5666667
number,7333333
sound,923077
no,4555556
most,2125000
people,3347826
my,15666667
over,1941176
know,1564103
water,4882353
than,1272727
call,1702703
first,3761905
who,7333333
may,886792
down,2333333
side,2333333
been,886792
now,2703704
find,2571429
any,818182
new,13285714
work,3347826
part,1272727
take,4555556
get,11500000
place,2225806
made,1564103
live,3347826
where,9000000
after,4882353
back,3347826
little,2703704
only,1325581
round,886792
man,3347826
year,3347826
came,234568
show,3545455
every,587302
good,5250000
me,49000000
give,1127660
our,724138
under,1631579
name,3347826
very,369863
through,960784
just,1173913
form,1325581
sentence,282051
great,1702703
think,428571
say,1380952
help,1702703
low,1702703
line,1777778
differ,30928
turn,1439024
cause,1702703
much,6142857
mean,4882353
before,1631579
move,639344
right,1564103
boy,1564103
old,6142857
too,1127660
same,1173913
tell,1000000
does,24000000
set,2225806
three,886792
want,923077
air,4555556
well,562500
also,176471
play,2571429
small,1941176
end,1439024
put,1857143
home,10111111
read,612903
hand,1127660
port,960784
large,960784
spell,388889
add,1272727
even,298701
land,1083333
here,428571
must,351351
big,4882353
high,5666667
such,162791
follow,176471
act,587302
why,10111111
ask,470588
men,2333333
change,2846154
went,176471
light,2846154
kind,724138
off,3545455
need,2448276
house,5666667
picture,1127660
try,234568
us,4555556
again,449275
animal,1777778
point,1564103
mother,639344
world,4000000
near,49000000
build,1083333
self,754386
earth,785714
father,492537
head,1777778
stand,1127660
own,851852
page,754386
should,3000000
country,1941176
found,587302
answer,428571
school,7333333
grow,639344
study,470588
still,1380952
learn,333333
plant,1173913
cover,1272727
food,6692308
sun,1173913
four,724138
between,2030303
state,6142857
keep,1083333
eye,2125000
never,587302
last,2571429
let,612903
thought,98901
city,7333333
tree,2333333
cross,1040816
farm,1500000
hard,1380952
start,2125000
might,162791
story,1439024
saw,369863
far,1325581
sea,923077
draw,492537
left,960784
late,408451
run,1325581
don't,851852
while,1083333
press,666667
close,1000000
night,2225806
real,3000000
life,2846154
few,111111
north,3545455
open,3545455
seem,30928
together,612903
next,1127660
white,6142857
children,886792
begin,123596
got,886792
walk,694915
example,639344
ease,41667
paper,1000000
group,1702703
always,587302
music,2448276
those,176471
both,282051
mark,1040816
often,515152
letter,1173913
until,388889
mile,369863
river,1941176
car,6692308
feet,1380952
care,3347826
second,694915
book,2703704
carry,408451
took,149425
science,612903
eat,2225806
room,1702703
friend,666667
began,30928
idea,204819
fish,1702703
mountain,1631579
stop,1777778
once,408451
base,694915
hear,219512
