a,99000000
act,587302
active,369863
activity,265823
age,2448276
air,4555556
amount,333333
answer,428571
anything,234568
apple,3347826
area,2225806
arm,538462
army,851852
art,1702703
ask,470588
attack,562500
baby,4263158
back,3347826
bad,2333333
bag,1325581
ball,1272727
bank,5666667
base,694915
basket,282051
bath,1173913
bear,1040816
beautiful,470588
bed,1857143
bedroom,515152
bell,1272727
big,4882353
bird,724138
birth,666667
birthday,1500000
bit,282051
bite,298701
block,960784
blue,4263158
board,1325581
boat,923077
body,2703704
book,2703704
border,298701
bottle,612903
bowl,1439024
box,2333333
boy,1564103
branch,333333
brave,75269
bread,1000000
break,724138
breakfast,1222222
bridge,666667
brother,639344
brush,351351
burn,449275
business,1941176
bus,960784
buy,4263158
cake,1272727
call,1702703
can,19000000
candle,282051
cap,587302
car,6692308
card,4555556
care,3347826
carry,408451
case,1564103
cat,2225806
catch,298701
chair,754386
chance,190476
change,2846154
chicken,3545455
child,1702703
chocolate,923077
choice,388889
city,7333333
class,1173913
clock,333333
clothes,785714
cloud,612903
coffee,1777778
coat,388889
cold,1325581
comfortable,86957
common,694915
computer,851852
condition,149425
control,1272727
cook,1127660
corner,408451
cost,3000000
count,666667
country,1941176
course,785714
cover,1272727
crash,449275
cross,1040816
cry,265823
cup,1272727
cut,1040816
dance,818182
dark,1380952
daughter,754386
day,6692308
dead,1325581
deep,785714
desk,428571
dinner,612903
direction,176471
dish,369863
dog,4882353
door,1777778
double,886792
draw,492537
dream,818182
dress,1702703
drink,1127660
drive,3166667
drop,724138
dust,176471
duty,408451
ear,818182
earth,785714
east,1777778
eat,2225806
education,639344
effect,562500
egg,886792
end,1439024
equal,190476
entrance,75269
escape,408451
evening,162791
event,515152
examination,20408
example,639344
exercise,351351
eye,2125000
face,2030303
fail,86957
fall,1083333
family,3166667
farm,1500000
father,492537
fault,86957
fear,282051
feed,694915
feel,960784
few,111111
fight,754386
fill,265823
film,587302
finger,388889
finish,234568
fire,2225806
fish,1702703
fix,818182
floor,886792
flower,923077
fly,666667
fold,162791
food,6692308
foot,1083333
football,5250000
force,923077
form,1325581
freedom,315789
friend,666667
front,1083333
fruit,694915
fun,785714
funny,818182
future,369863
game,6142857
garden,1631579
gate,388889
general,1222222
gift,1272727
give,1127660
glad,20408
glass,1222222
go,4555556
gold,1941176
good,5250000
grandfather,30928
grandmother,30928
grass,408451
great,1702703
green,3545455
ground,666667
group,1702703
hair,4000000
half,851852
hall,1040816
hand,1127660
hat,818182
hate,265823
head,1777778
heavy,449275
heart,1857143
height,886792
hello,351351
help,1702703
hide,190476
high,5666667
hit,515152
hold,428571
hole,470588
holiday,923077
home,10111111
hope,470588
horse,851852
hospital,2225806
hotel,3347826
house,6142857
hour,1000000
hurry,10101
husband,694915
hurt,639344
ice,1941176
idea,204819
if,6692308
increase,515152
inside,694915
iron,1040816
invite,75269
island,2571429
it,11500000
job,1439024
join,298701
juice,724138
jump,315789
keep,1083333
key,1500000
kind,754386
king,2703704
kitchen,1500000
knee,449275
knife,333333
ladder,136364
lady,785714
